demand_node_index,truck_node_index,distance,scaled_demand
demand2,truck2,110.3793414895847,52
demand2,truck9,111.96374968712873,52
demand2,truck14,186.66370020319573,31
demand2,truck17,289.32711131321645,3
demand2,truck18,326.28375500150185,0
demand2,truck20,414.8516356766123,0
demand2,truck22,250.14133880262133,14
demand2,truck29,417.79710871686734,0
demand2,truck30,425.3201004486709,0
demand2,truck31,509.7962155636307,0
demand2,truck33,532.8622178416304,0
demand2,truck34,469.07802378019073,0
demand2,truck36,482.9837096927662,0
demand2,truck37,480.15785939812326,0
demand2,truck38,384.3523700655122,0
demand2,truck42,567.8488337296171,0
demand2,truck43,593.4367886101345,0
demand2,truck46,612.5594576157043,0
demand2,truck49,680.0713394058387,0
demand2,truck53,243.3271069354977,16
demand2,truck44,378.458792300638,0
demand2,truck55,581.8418020532891,0
demand9,truck2,422.5987118852445,0
demand9,truck9,350.31087968968575,0
demand9,truck14,346.67332845530996,0
demand9,truck17,172.89106888282524,41
demand9,truck18,134.96005763991636,54
demand9,truck20,68.22694272294966,65
demand9,truck22,212.6232648603734,28
demand9,truck29,302.2334630493693,0
demand9,truck30,287.75827042116646,4
demand9,truck31,201.38944963598993,32
demand9,truck33,244.95712217848742,18
demand9,truck34,300.4574824447375,0
demand9,truck36,367.4200640252681,0
demand9,truck37,448.16381627906577,0
demand9,truck38,480.6277535315377,0
demand9,truck42,451.683502625784,0
demand9,truck43,477.2714575063013,0
demand9,truck46,372.7983155724018,0
demand9,truck49,420.5610945039267,0
demand9,truck53,300.4409623858533,0
demand9,truck44,262.8951466331399,12
demand9,truck55,342.08066000998673,0
demand11,truck2,246.234428119592,5
demand11,truck9,173.94659592403326,13
demand11,truck14,169.4054166251489,13
demand11,truck17,82.60599846203378,20
demand11,truck18,120.46627021482777,18
demand11,truck20,225.8413353346613,7
demand11,truck22,169.48435632994574,13
demand11,truck29,211.94839262857775,9
demand11,truck30,219.47138436038134,8
demand11,truck31,303.9474994753411,0
demand11,truck33,327.01350175334073,0
demand11,truck34,263.2293076919011,4
demand11,truck36,277.13499360447656,2
demand11,truck37,357.8787458582742,0
demand11,truck38,355.54769905077427,0
demand11,truck42,362.0001176413275,0
demand11,truck43,387.5880725218448,0
demand11,truck46,406.71074152741465,0
demand11,truck49,474.2226233175491,0
demand11,truck53,149.68702770771952,15
demand11,truck44,172.61007621234842,13
demand11,truck55,375.9930859649996,0
demand12,truck2,185.60221934271732,20
demand12,truck9,113.3143871471586,33
demand12,truck14,168.1753919920475,23
demand12,truck17,194.45700745233688,18
demand12,truck18,232.3172792051309,12
demand12,truck20,337.6923443249643,0
demand12,truck22,251.4919762626512,8
demand12,truck29,322.92700485598783,0
demand12,truck30,330.4499965877914,0
demand12,truck31,414.9261117027512,0
demand12,truck33,437.99211398075084,0
demand12,truck34,374.2079199193112,0
demand12,truck36,388.1136058318867,0
demand12,truck37,418.23565010537266,0
demand12,truck38,364.9796924476485,0
demand12,truck42,472.9787298687376,0
demand12,truck43,498.56668474925493,0
demand12,truck46,517.6893537548248,0
demand12,truck49,585.2012355449592,0
demand12,truck53,148.45700307461814,27
demand12,truck44,283.58868843975847,3
demand12,truck55,486.9716981924097,0
demand13,truck2,320.60253695489166,0
demand13,truck9,248.31470475933293,14
demand13,truck14,243.77352546044855,15
demand13,truck17,104.78624994793587,54
demand13,truck18,142.64652170072986,43
demand13,truck20,248.02158682056339,14
demand13,truck22,149.93714682697993,41
demand13,truck29,234.12864411447984,18
demand13,truck30,241.65163584628343,16
demand13,truck31,326.1277509612432,0
demand13,truck33,349.1937532392428,0
demand13,truck34,285.4095591778032,4
demand13,truck36,299.31524509037865,0
demand13,truck37,380.0589973441763,0
demand13,truck38,377.7279505366764,0
demand13,truck42,384.1803691272296,0
demand13,truck43,409.7683240077469,0
demand13,truck46,428.89099301331674,0
demand13,truck49,496.4028748034512,0
