index,x,y
truck2,237.31368937998772,55.272120200333895
truck9,218.6764886433395,145.63272120200335
truck14,150.65070595457337,222.64106844741238
truck17,310.62001227747083,222.02003338898166
truck18,364.6678944137508,222.64106844741238
truck20,469.9680785758134,206.80467445742906
truck22,356.2811540822591,145.63272120200335
truck29,296.0208717004297,350.8848080133556
truck30,332.05279312461636,352.12687813021705
truck31,397.90423572744015,353.05843071786313
truck33,393.24493554327813,377.2787979966611
truck34,337.9545733578883,395.28881469115197
truck36,303.16513198281154,414.85141903171956
truck37,209.35788827501537,398.3939899833055
truck38,112.44444444444444,397.7729549248748
truck42,276.1411909146716,476.95492487479135
truck43,290.42971147943524,506.7646076794658
truck46,394.487415592388,524.4641068447413
truck49,492.64333947206876,479.7495826377296
truck53,209.35788827501537,280.0868113522538
truck44,315.5899324739104,295.92320534223705
truck55,387.0325352977287,454.5976627712855
