index,name,x,y,demand
demand11,Reinforcement Learning Puppy Training,284.83855125844076,188.79465776293824,50
demand12,KKT Air Conditioning,256.57213014119094,158.0534223706177,35
demand13,Linear Regression Psychology Services,315.2793124616329,163.64273789649417,30
demand14,George's Basic Diet Solutions,213.70656844689995,160.53756260434056,25
demand16,Rothberg Tower,129.21792510742787,168.6110183639399,25
demand20,Complex Complex,239.48802946593003,246.86143572621037,30
demand21,Gurobi Polytope,295.71025168815225,240.96160267111856,50
demand23,Anna Konda's Pet Shop,395.4192756292204,220.77796327212022,5
demand25,Fourier Transform Towers,460.96009821976673,302.13355592654426,50
demand28,RINS Laundromat,169.90914671577656,306.17028380634395,15
demand31,Edgeworth's Newsvendors,72.68508287292818,359.889816360601,30
demand33,Interior Point Decorating,267.1332105586249,362.0634390651085,50
demand40,Land & Harcourt's B&B,375.2289748311848,491.23873121869786,45
demand47,Logistic Regression Couriers,375.2289748311848,397.46243739565944,10
demand49,Big-M Market,241.9729895641498,421.68280467445743,25
demand52,Cutting Stock Atelier,217.12338858195213,104.02337228714525,30
